Set_of_parameters_modelNumber	C_Value	Sigma_Value	Genes	Misclass	Misclass_Error	LogLoss	LogLoss_Error	GOF	GOF_Error	Accuracy0	Accuracy1	Accuracy0_err	Accuracy1_err	MCC
30deg0-10deg1-8deg2_11	100000	10	COL1A1	0.696238	0.040609	0.727928	0.006760	0.696238	0.040609	0.703226	0.207393	0.108841	0.076529	-0.0847297652804
30deg0-14deg1-4deg2_3	100	1	SOX2	0.693730	0.038753	0.739177	0.005838	0.693730	0.038753	0.698387	0.211673	0.101414	0.072390	-0.0846793285474139
30deg0-18deg1-2deg2_3	100	1	SOX2	0.693730	0.038753	0.739177	0.005838	0.693730	0.038753	0.698387	0.211673	0.101414	0.072390	-0.0846793285474139
30deg0-8deg1-2deg2_12	100	100	ELK3;FAM134B;NOX3	0.739812	0.000000	0.786025	0.002804	0.739812	0.000000	0.967742	0.089494	0.000000	0.000000	0.0842729850560859
30deg0-8deg1-2deg2_15	100000	100	ELK3;FAM134B	0.739812	0.000000	0.801906	0.000000	0.739812	0.000000	0.967742	0.089494	0.000000	0.000000	0.0842729850560859
30deg0-8deg1-2deg2_17	10000	1000	ELK3;FAM134B;NOX3	0.739812	0.000000	0.786041	0.002804	0.739812	0.000000	0.967742	0.089494	0.000000	0.000000	0.0842729850560859
30deg0-8deg1-2deg2_8	100	10	ITIH4;KIF14;ZNF273;E2F5	0.652665	0.026824	0.774658	0.006882	0.652665	0.026824	0.862903	0.222957	0.022459	0.038301	0.0839669896757861
30deg0-18deg1-8deg2_18	100000	1000	PRKCA	0.244201	0.002113	0.621912	0.002551	0.244201	0.002113	0.170968	0.896887	0.006452	0.003770	0.0837547562002137
30deg0-12deg1-2deg2_10	10000	10	ACTN1;TLE1	0.800627	0.000836	0.762173	0.002778	0.800627	0.000836	0.948387	0.018677	0.008602	0.003113	-0.0833504990823683
30deg0-10deg1-10deg2_1	1	1	AAK1	0.436050	0.001358	0.684325	0.000702	0.436050	0.001358	0.532258	0.571595	0.000000	0.001686	0.0826282763606125
30deg0-16deg1-6deg2_1	1	1	AAK1	0.436050	0.001358	0.684325	0.000702	0.436050	0.001358	0.532258	0.571595	0.000000	0.001686	0.0826282763606125
30deg0-14deg1-2deg2_13	1000	100	TLE1;GADD45G;BAK1	0.677743	0.025972	0.792462	0.012906	0.677743	0.025972	0.670968	0.238132	0.063395	0.047496	-0.0824405752698576
30deg0-14deg1-6deg2_15	100000	100	FRAT1;OSBPL9;GDNF	0.758621	0.000000	0.750493	0.001258	0.758621	0.000000	0.983871	0.062257	0.000000	0.000000	0.0812640631060157
30deg0-4deg1-0deg2_2	10	1	PRKCA	0.374295	0.005803	0.672552	0.005073	0.374295	0.005803	0.422581	0.674708	0.012213	0.009813	0.081029670649998
30deg0-8deg1-4deg2_2	10	1	PRKCA	0.374295	0.005803	0.672552	0.005073	0.374295	0.005803	0.422581	0.674708	0.012213	0.009813	0.081029670649998
30deg0-6deg1-4deg2_7	10	10	ATP1B3;NOX3;FOXC2;FLI1;SLC22A8	0.219436	0.000000	0.643776	0.008401	0.219436	0.000000	0.000000	0.968872	0.000000	0.000000	-0.078775503288721
30deg0-16deg1-4deg2_15	100000	100	ERCC2;KATNA1;CASP1	0.780564	0.000000	20.787334	2.601876	0.780564	0.000000	1.000000	0.031128	0.000000	0.000000	0.0787755032887209
30deg0-16deg1-10deg2_1	1	1	TOX	0.433229	0.006655	0.707338	0.003745	0.433229	0.006655	0.520968	0.577821	0.009328	0.010101	0.078725569732144
30deg0-10deg1-8deg2_5	10000	1	EXT1;RREB1;FAM134B	0.451411	0.000000	0.764101	0.000005	0.451411	0.000000	0.548387	0.548638	0.000000	0.000000	0.0769231519770966
30deg0-6deg1-4deg2_6	100000	1	KIF13B	0.646082	0.017859	9.685496	0.956191	0.646082	0.017859	0.622581	0.289105	0.041935	0.032233	-0.0758148044628418
30deg0-20deg1-4deg2_8	100	10	CTGF;ERCC2;CSF1;TRIP10	0.374922	0.048675	0.694545	0.004550	0.374922	0.048675	0.187097	0.730739	0.092879	0.082802	-0.0747596500479948
30deg0-10deg1-4deg2_21	100000	100000	NOX3;RPH3AL;MSX2;GADD45G;SRGAP3	0.575235	0.017561	0.728332	0.004330	0.575235	0.017561	0.500000	0.406615	0.028550	0.027952	-0.0747569930751883
30deg0-8deg1-8deg2_3	100	1	F13A1	0.778056	0.008185	0.837001	0.050131	0.778056	0.008185	0.891935	0.060311	0.028352	0.016643	-0.0742615680325926
30deg0-14deg1-10deg2_9	1000	10	NKX3-1	0.797492	0.000512	2.126045	0.071151	0.797492	0.000512	0.945161	0.023346	0.002634	0.000000	-0.0736908185685532
30deg0-10deg1-4deg2_19	10000	10000	NOX3;SYK;GADD45B;RPH3AL;ITGBL1	0.655172	0.047226	0.736549	0.001977	0.655172	0.047226	0.853226	0.222179	0.048054	0.070105	0.0735775026395817
30deg0-16deg1-6deg2_3	100	1	CYP27A1	0.694044	0.020236	0.841525	0.021595	0.694044	0.020236	0.903226	0.161868	0.017338	0.029206	0.0722927469526184
30deg0-14deg1-8deg2_2	10	1	C1orf21	0.672100	0.006596	0.763945	0.001369	0.672100	0.006596	0.874194	0.196109	0.008932	0.010183	0.0720312616843209
30deg0-14deg1-6deg2_6	100000	1	FMO4;S100P	0.539498	0.076509	3.446600	0.458006	0.539498	0.076509	0.448387	0.463424	0.106060	0.120070	-0.0698464753978404
30deg0-10deg1-0deg2_15	100000	100	CALCOCO1;PRMT1	0.781191	0.016301	0.702159	0.004371	0.781191	0.016301	0.996774	0.031128	0.002151	0.020752	0.0697674229716293
30deg0-18deg1-4deg2_16	1000	1000	SH3TC1;PRKCA;NGF;TGFBI	0.799060	0.000313	0.749686	0.000937	0.799060	0.000313	0.953226	0.019455	0.001613	0.000000	-0.06956098388408
30deg0-2deg1-2deg2_15	100000	100	CTGF;GRTP1;ADAMTS5	0.800000	0.000627	1.408676	0.052998	0.800000	0.000627	0.956452	0.017510	0.004839	0.001946	-0.0693688300887213
30deg0-18deg1-0deg2_16	1000	1000	ELN;TGFB2;PAX4	0.607210	0.031121	0.736798	0.001548	0.607210	0.031121	0.564516	0.351362	0.069934	0.055497	-0.0690351079356003
30deg0-18deg1-0deg2_19	10000	10000	ELN;TGFB2;PAX4	0.607210	0.031121	0.736796	0.001548	0.607210	0.031121	0.564516	0.351362	0.069934	0.055497	-0.0690351079356003
30deg0-10deg1-6deg2_15	100000	100	PDLIM4;LAMA5;IGF1	0.691536	0.024900	6.035673	1.658007	0.691536	0.024900	0.717742	0.209728	0.061594	0.045766	-0.0688581671697419
30deg0-14deg1-2deg2_7	10	10	TNC;ADAMTS5;CARD9;RCAN2	0.591850	0.000418	0.763544	0.001430	0.591850	0.000418	0.538710	0.376654	0.004301	0.000519	-0.0685671433442185
30deg0-10deg1-2deg2_12	100	100	SLC7A2;ITGB7;KIF13B	0.770533	0.005852	0.781037	0.005847	0.770533	0.005852	0.987097	0.046693	0.002151	0.007782	0.068130504673092
30deg0-10deg1-2deg2_17	10000	1000	SLC7A2;ITGB7;KIF13B	0.770533	0.005852	0.781032	0.005846	0.770533	0.005852	0.987097	0.046693	0.002151	0.007782	0.068130504673092
30deg0-6deg1-6deg2_16	1000	1000	MVK;KIF14;PRKCA	0.213166	0.000000	0.609976	0.005361	0.213166	0.000000	0.000000	0.976654	0.000000	0.000000	-0.0680032803026969
30deg0-6deg1-6deg2_19	10000	10000	MVK;KIF14;PRKCA	0.213166	0.000000	0.608830	0.005195	0.213166	0.000000	0.000000	0.976654	0.000000	0.000000	-0.0680032803026969
30deg0-6deg1-6deg2_20	100000	10000	MVK;KIF14;PRKCA	0.213166	0.000000	0.610066	0.005376	0.213166	0.000000	0.000000	0.976654	0.000000	0.000000	-0.0680032803026969
30deg0-16deg1-0deg2_12	100	100	MAPT;ATP5B;NMT2	0.778683	0.017973	0.791140	0.029623	0.778683	0.017973	0.900000	0.057588	0.066667	0.038392	-0.0676756233676302
30deg0-4deg1-2deg2_4	1000	1	OLFML2B;ELN;CPB2	0.804389	0.000836	0.753907	0.019775	0.804389	0.000836	0.974194	0.007782	0.017204	0.005188	-0.0675203539588344
30deg0-6deg1-0deg2_3	100	1	COL1A1	0.381191	0.003744	0.733072	0.026290	0.381191	0.003744	0.206452	0.718288	0.007527	0.006333	-0.0673107696832448
30deg0-20deg1-2deg2_7	10	10	BAG2	0.698433	0.001024	0.805540	0.000756	0.698433	0.001024	0.903226	0.156420	0.000000	0.001271	0.0670657585297106
30deg0-6deg1-0deg2_8	100	10	ERCC2;E2F5	0.564890	0.065524	0.689811	0.015166	0.564890	0.065524	0.496774	0.420233	0.136961	0.114373	-0.0662200411596645
30deg0-14deg1-4deg2_18	100000	1000	TAS2R16;MSX2;RPL10A;NMT2	0.531661	0.046520	0.742627	0.005790	0.531661	0.046520	0.441935	0.474708	0.119258	0.084918	-0.065980498414656
30deg0-14deg1-8deg2_8	100	10	RPH3AL	0.248276	0.059152	0.554466	0.019986	0.248276	0.059152	0.158065	0.894942	0.088238	0.094695	0.0656588914764208
30deg0-4deg1-2deg2_10	10000	10	PALM	0.197492	0.000000	0.522561	0.005690	0.197492	0.000000	0.032258	0.988327	0.000000	0.000000	0.0655790754040331
30deg0-6deg1-2deg2_9	1000	10	CBR1;ZNF334	0.747962	0.009613	0.750573	0.001039	0.747962	0.009613	0.961290	0.080934	0.006452	0.013489	0.0643395770615347
30deg0-4deg1-0deg2_6	100000	1	IL12A	0.700627	0.047744	1.163235	0.238658	0.700627	0.047744	0.741935	0.192607	0.070756	0.076205	-0.0641232365909169
30deg0-20deg1-2deg2_11	100000	10	SLC7A2	0.673668	0.005064	1.117443	0.029614	0.673668	0.005064	0.691935	0.238132	0.010873	0.008697	-0.0637618142687074
30deg0-18deg1-4deg2_18	100000	1000	TRIP10;FLI1;HMGA1;PDIA3	0.801254	0.001938	0.777716	0.013142	0.801254	0.001938	0.964516	0.014008	0.018437	0.006844	-0.0636046074342044
30deg0-18deg1-8deg2_3	100	1	TG	0.263636	0.060587	0.584495	0.018046	0.263636	0.060587	0.187097	0.868872	0.086931	0.096156	0.0634488586422376
30deg0-16deg1-8deg2_5	10000	1	IGF1	0.421003	0.068020	0.878754	0.166320	0.421003	0.068020	0.472581	0.604669	0.070553	0.101073	0.0621436314927673
30deg0-10deg1-10deg2_12	100	100	CBR1	0.717555	0.023217	0.745107	0.001655	0.717555	0.023217	0.777419	0.163035	0.076820	0.045394	-0.0620671666068156
30deg0-10deg1-10deg2_17	10000	1000	CBR1	0.717555	0.023217	0.745097	0.001655	0.717555	0.023217	0.777419	0.163035	0.076820	0.045394	-0.0620671666068156
30deg0-4deg1-0deg2_5	10000	1	IL12A	0.665204	0.049140	1.035091	0.169882	0.665204	0.049140	0.679032	0.251751	0.074398	0.078737	-0.0620456238598146
30deg0-4deg1-6deg2_20	100000	10000	FBN1;SLC7A2;MRPS12;OPCML;FRAT1;SYNPO	0.689342	0.036833	0.733971	0.005805	0.689342	0.036833	0.724194	0.210895	0.091127	0.067552	-0.0616556621465628
30deg0-4deg1-4deg2_6	100000	1	HNF4A;C1orf21;PHLDA1	0.633229	0.000000	0.789338	0.002784	0.633229	0.000000	0.806452	0.260700	0.000000	0.000000	0.0615605399552042
30deg0-4deg1-6deg2_1	1	1	SYNE1	0.794357	0.005553	0.767943	0.008814	0.794357	0.005553	0.945161	0.027237	0.023582	0.012346	-0.0615020794938795
30deg0-14deg1-6deg2_8	100	10	AGER;RPH3AL;TBXA2R	0.194357	0.000000	0.554378	0.005383	0.194357	0.000000	0.016129	0.996109	0.000000	0.000000	0.0613521582076311
30deg0-2deg1-0deg2_11	100000	10	AGER;FBN1	0.739812	0.000000	1.190387	0.000000	0.739812	0.000000	0.822581	0.124514	0.000000	0.000000	-0.061301349083164
30deg0-2deg1-0deg2_14	10000	100	AGER;FBN1	0.739812	0.000000	1.190387	0.000000	0.739812	0.000000	0.822581	0.124514	0.000000	0.000000	-0.061301349083164
30deg0-6deg1-4deg2_1	1	1	PHLDA1	0.704389	0.019854	0.805696	0.019313	0.704389	0.019854	0.753226	0.185214	0.048509	0.036197	-0.0612253028564177
30deg0-10deg1-10deg2_4	1000	1	CBR3	0.771473	0.002061	1.974881	0.196476	0.771473	0.002061	0.983871	0.046304	0.000000	0.002558	0.0606151429432959
30deg0-20deg1-6deg2_12	100	100	TUBA1A	0.806270	0.000418	0.863053	0.020762	0.806270	0.000418	0.988710	0.001946	0.004839	0.000870	-0.0603961534247567
30deg0-16deg1-4deg2_2	10	1	BSCL2	0.538558	0.003128	0.750342	0.003276	0.538558	0.003128	0.462903	0.461089	0.002464	0.004427	-0.0602237374472679
30deg0-6deg1-6deg2_8	100	10	HOXA3;SLC39A4;CLEC4M;GADD45G	0.550470	0.049010	0.726316	0.011862	0.550470	0.049010	0.483871	0.441245	0.098901	0.084693	-0.0594969066141406
30deg0-2deg1-0deg2_3	100	1	E2F5	0.772100	0.014290	0.940963	0.018231	0.772100	0.014290	0.983871	0.045525	0.007213	0.019447	0.0594944629047396
30deg0-18deg1-8deg2_19	10000	10000	TCF4;ZFP36L2;ATP5B;GNAI1	0.372727	0.064978	0.677049	0.007852	0.372727	0.064978	0.383871	0.685992	0.099420	0.104588	0.0589030498383792
30deg0-12deg1-4deg2_11	100000	10	KIF13B	0.731034	0.009437	1.722135	0.164958	0.731034	0.009437	0.808065	0.138911	0.023735	0.017324	-0.0588879085432004
30deg0-16deg1-2deg2_4	1000	1	BAK1	0.662382	0.006692	0.771231	0.008247	0.662382	0.006692	0.679032	0.255253	0.010604	0.010808	-0.0587084155064156
30deg0-14deg1-0deg2_12	100	100	COL1A1	0.775862	0.019421	0.736280	0.007372	0.775862	0.019421	0.987097	0.040078	0.009855	0.026454	0.0586766109525439
30deg0-8deg1-10deg2_11	100000	10	CCDC94	0.562069	0.055557	0.728622	0.004003	0.562069	0.055557	0.504839	0.421790	0.105164	0.094202	-0.0585474108230134
30deg0-2deg1-0deg2_10	10000	10	E2F5	0.657994	0.028873	0.832005	0.020472	0.657994	0.028873	0.837097	0.222568	0.061791	0.048967	0.0578672709522698
30deg0-6deg1-0deg2_11	100000	10	MAPT	0.266144	0.002493	0.508621	0.004534	0.266144	0.002493	0.183871	0.866537	0.008736	0.005124	0.0569356108993305
30deg0-16deg1-6deg2_18	100000	1000	SLC7A2;MRTO4;PAX2;TGFBI;KATNA1	0.750157	0.006593	0.979089	0.011609	0.750157	0.006593	0.958065	0.078988	0.004301	0.008702	0.0568001961375454
30deg0-8deg1-2deg2_13	1000	100	ELK3;FAM134B;TLE1	0.758621	0.000000	0.924308	0.006844	0.758621	0.000000	0.967742	0.066148	0.000000	0.000000	0.0566625616850753
30deg0-8deg1-2deg2_18	100000	1000	ELK3;FAM134B;TLE1	0.758621	0.000000	0.924390	0.006846	0.758621	0.000000	0.967742	0.066148	0.000000	0.000000	0.0566625616850753
30deg0-18deg1-0deg2_3	100	1	TP53	0.726959	0.010360	0.821053	0.009532	0.726959	0.010360	0.803226	0.145136	0.022010	0.017746	-0.0564351976304085
30deg0-8deg1-8deg2_8	100	10	MVK;SLC8A1	0.801881	0.001024	0.693125	0.000119	0.801881	0.001024	0.970968	0.011673	0.007902	0.003177	-0.0564242572239832
30deg0-12deg1-4deg2_19	10000	10000	SCN5A;GAA;GPR35;MSC;UGT1A1	0.792790	0.002821	0.985957	0.048119	0.792790	0.002821	1.000000	0.015953	0.000000	0.003502	0.0560441959118927
30deg0-10deg1-0deg2_7	10	10	SYK	0.651097	0.051344	0.723195	0.006667	0.651097	0.051344	0.662903	0.273152	0.112350	0.090798	-0.056019281648472
30deg0-14deg1-4deg2_15	100000	100	VAMP5;PRKCA;DDR2	0.714107	0.017314	0.764215	0.005965	0.714107	0.017314	0.779032	0.166926	0.043615	0.032010	-0.0559762363464836
30deg0-8deg1-10deg2_21	100000	100000	DCHS2;PDLIM4;TBC1D9;TG;ADAM19	0.517555	0.094963	0.700110	0.013522	0.517555	0.094963	0.620968	0.449027	0.117845	0.146079	0.0558626421185196
30deg0-18deg1-0deg2_9	1000	10	NGF;TLE1	0.225705	0.000000	0.664024	0.003634	0.225705	0.000000	0.016129	0.957198	0.000000	0.000000	-0.0554718325254348
30deg0-4deg1-6deg2_16	1000	1000	FBN1;SLC7A2;MRPS12;OPCML;FRAT1;SYNPO	0.689655	0.036252	0.733911	0.005820	0.689655	0.036252	0.733871	0.208171	0.090132	0.066514	-0.0554149857695362
30deg0-8deg1-8deg2_15	100000	100	KIF14	0.779624	0.026019	0.717339	0.003751	0.779624	0.026019	0.988710	0.035019	0.011290	0.035019	0.0546850969473034
30deg0-14deg1-0deg2_20	100000	10000	BAK1	0.507837	0.016107	0.724816	0.004351	0.507837	0.016107	0.422581	0.508949	0.021613	0.025048	-0.0542416305822464
30deg0-8deg1-8deg2_19	10000	10000	REEP1;FARP1;MRPS12	0.678683	0.063858	0.865230	0.057644	0.678683	0.063858	0.861290	0.191051	0.076646	0.097369	0.0538079490016001
30deg0-14deg1-8deg2_18	100000	1000	WFDC1;NHLH1	0.467085	0.056426	6.732117	1.727308	0.467085	0.056426	0.535484	0.532296	0.077419	0.088716	0.0536810660101298
30deg0-10deg1-2deg2_8	100	10	PPA2;IGF1;PDIA3;MSC	0.394357	0.066458	0.706812	0.005834	0.394357	0.066458	0.412903	0.652140	0.092473	0.104799	0.0536042176307752
30deg0-16deg1-10deg2_3	100	1	HMG20B	0.526019	0.003614	0.792266	0.007437	0.526019	0.003614	0.630645	0.436187	0.001613	0.004834	0.0535267702171751
30deg0-12deg1-4deg2_14	10000	100	FLI1;NPY1R;GPR35;ALX1	0.512226	0.032602	0.728604	0.001372	0.512226	0.032602	0.608065	0.458755	0.043548	0.050973	0.0531958738788653
30deg0-0deg1-0deg2_10	10000	10	MAPT	0.263636	0.002448	0.517402	0.005110	0.263636	0.002448	0.174194	0.871984	0.005790	0.004241	0.0531438625761184
30deg0-16deg1-6deg2_9	1000	10	CTGF;IRAK3;TGFBI	0.758621	0.000000	1.053259	0.000000	0.758621	0.000000	0.870968	0.089494	0.000000	0.000000	-0.0528202406143824
30deg0-6deg1-6deg2_4	1000	1	PHLDA1	0.769906	0.021431	0.767811	0.010315	0.769906	0.021431	0.895161	0.069650	0.043760	0.036970	-0.0523910970120866
30deg0-18deg1-8deg2_4	1000	1	GPR137B	0.352665	0.003378	0.680058	0.019109	0.352665	0.003378	0.337097	0.722179	0.001613	0.004387	0.0517266877536722
30deg0-20deg1-2deg2_8	100	10	E2F5;RARS;BAG2;ATP5B	0.542320	0.000000	0.732861	0.000776	0.542320	0.000000	0.483871	0.451362	0.000000	0.000000	-0.0513910236308631
30deg0-10deg1-10deg2_11	100000	10	RHOH	0.211912	0.000958	0.611720	0.028196	0.211912	0.000958	0.062903	0.963035	0.001613	0.001329	0.0511646441136785
30deg0-12deg1-0deg2_15	100000	100	RPL10A;HNF4A;F13A1;NGF	0.805329	0.000313	0.898648	0.030299	0.805329	0.000313	0.987097	0.003502	0.002151	0.000698	-0.051094830450554
30deg0-16deg1-10deg2_12	100	100	HMGA1;DLGAP1	0.783072	0.006143	0.692789	0.000880	0.783072	0.006143	0.990323	0.030350	0.002634	0.008260	0.051089006098414
30deg0-10deg1-8deg2_4	1000	1	C1orf21;POU6F1;ITGB7;SURF2	0.721317	0.037599	0.767729	0.016497	0.721317	0.037599	0.800000	0.152918	0.076420	0.065027	-0.0505560121069315
30deg0-10deg1-6deg2_14	10000	100	PAIP2B;CBR1;HNF4A;TM4SF1;BMP2K	0.715674	0.035540	0.745972	0.006826	0.715674	0.035540	0.908065	0.133852	0.061396	0.051435	0.0500329904917796
30deg0-20deg1-4deg2_3	100	1	BDNF;GNRH2	0.749216	0.018809	0.747607	0.022312	0.749216	0.018809	0.951613	0.081712	0.016129	0.027237	0.0499937965502751
30deg0-16deg1-2deg2_12	100	100	SGK1;HMG20B;TLE1	0.764890	0.000000	0.853519	0.012049	0.764890	0.000000	0.887097	0.077821	0.000000	0.000000	-0.0498739271878563
30deg0-16deg1-2deg2_17	10000	1000	SGK1;HMG20B;TLE1	0.764890	0.000000	0.853532	0.012050	0.764890	0.000000	0.887097	0.077821	0.000000	0.000000	-0.0498739271878563
30deg0-4deg1-6deg2_10	10000	10	BSCL2;MPST	0.570846	0.051237	7.393141	1.776379	0.570846	0.051237	0.695161	0.364981	0.066521	0.079645	0.0497884473109757
30deg0-4deg1-0deg2_13	1000	100	MAPT;HNF4A	0.213166	0.000000	0.580719	0.000000	0.213166	0.000000	0.064516	0.961089	0.000000	0.000000	0.049461978923313
30deg0-10deg1-8deg2_13	1000	100	FRAT1;GPRC5D;LOR	0.222571	0.000000	6.636735	0.001950	0.222571	0.000000	0.016129	0.961089	0.000000	0.000000	-0.0494060545635094
30deg0-16deg1-8deg2_8	100	10	CLDN3;FBN1	0.310345	0.000000	0.765250	0.000000	0.310345	0.000000	0.129032	0.824903	0.000000	0.000000	-0.0489728088955225
30deg0-8deg1-8deg2_11	100000	10	STXBP5L	0.249843	0.029684	0.625950	0.061371	0.249843	0.029684	0.141935	0.896887	0.046919	0.048061	0.0489692251149942
30deg0-12deg1-4deg2_15	100000	100	S100P;LCN2;HTR2A	0.573981	0.088891	0.761611	0.028491	0.573981	0.088891	0.698387	0.360311	0.107232	0.136161	0.0487326401622628
30deg0-20deg1-2deg2_2	10	1	QKI	0.795925	0.003542	0.769410	0.009716	0.795925	0.003542	1.000000	0.012062	0.000000	0.004396	0.0486553553232456
30deg0-2deg1-2deg2_3	100	1	RCN3	0.757994	0.019391	0.755651	0.003264	0.757994	0.019391	0.874194	0.089494	0.045670	0.034822	-0.0486508766634493
30deg0-8deg1-6deg2_5	10000	1	RCVRN;RCAN2;SLC39A4;MRPS12	0.200627	0.000000	0.590702	0.000000	0.200627	0.000000	0.032258	0.984436	0.000000	0.000000	0.048626947655398
30deg0-8deg1-6deg2_6	100000	1	RCVRN;RCAN2;SLC39A4;MRPS12	0.200627	0.000000	0.590702	0.000000	0.200627	0.000000	0.032258	0.984436	0.000000	0.000000	0.048626947655398
30deg0-12deg1-4deg2_6	100000	1	HMGA1;BMP2K;ALX1	0.727586	0.039744	0.745524	0.029321	0.727586	0.039744	0.922581	0.115564	0.039420	0.058842	0.048601508820931
30deg0-2deg1-2deg2_21	100000	100000	POU6F1;CTGF;NLGN1	0.724138	0.015639	0.760905	0.009071	0.724138	0.015639	0.917742	0.121012	0.030456	0.026735	0.0483486703639708
30deg0-20deg1-2deg2_14	10000	100	GNAI1;PRKCA;PADI3;DLG2	0.796238	0.002560	1.262684	0.154062	0.796238	0.002560	1.000000	0.011673	0.000000	0.003177	0.0478567849864426
30deg0-8deg1-10deg2_4	1000	1	COL1A1	0.470846	0.056292	0.703906	0.013985	0.470846	0.056292	0.374194	0.566537	0.104964	0.095181	-0.0474883422906101
30deg0-10deg1-8deg2_3	100	1	TPK1	0.203448	0.000313	0.625983	0.019901	0.203448	0.000313	0.000000	0.988716	0.000000	0.000389	-0.0470451792198042
30deg0-20deg1-0deg2_6	100000	1	ITGB4;GDNF;F3	0.594044	0.023511	0.882519	0.026464	0.594044	0.023511	0.579032	0.364202	0.046774	0.040467	-0.0463927402477068
30deg0-14deg1-4deg2_14	10000	100	TAS2R16;MSX2;RPL10A;MYL1;COL1A1	0.669592	0.040498	0.762144	0.009663	0.669592	0.040498	0.838710	0.207782	0.040519	0.059753	0.0461015683748423
30deg0-20deg1-6deg2_6	100000	1	CEACAM1;SLC7A2;RPL10A;GDNF;VENTX	0.548589	0.056724	0.706136	0.008945	0.548589	0.056724	0.503226	0.438911	0.105404	0.095714	-0.0460226166329118
30deg0-10deg1-2deg2_2	10	1	KIF14	0.567398	0.003029	0.846197	0.007209	0.567398	0.003029	0.683871	0.371984	0.005987	0.004996	0.0460146609757494
30deg0-18deg1-4deg2_2	10	1	ADAMTS5	0.202821	0.001149	0.579126	0.012246	0.202821	0.001149	0.000000	0.989494	0.000000	0.001427	-0.045380050606201
30deg0-14deg1-6deg2_19	10000	10000	OSBPL9;CD1D;GPR35;ITIH4	0.226332	0.006231	0.562764	0.015420	0.226332	0.006231	0.022581	0.954864	0.006452	0.009284	-0.0451412170924408
30deg0-16deg1-8deg2_6	100000	1	ERCC2	0.269906	0.002164	2.848128	0.127950	0.269906	0.002164	0.077419	0.887549	0.002151	0.002983	-0.0450985060811053
30deg0-0deg1-0deg2_9	1000	10	MAPT	0.256426	0.001024	0.511259	0.002817	0.256426	0.001024	0.150000	0.886770	0.003443	0.001875	0.0447142606245012
30deg0-0deg1-2deg2_8	100	10	CD80;PNLIP;ALX1;TRIM68	0.726646	0.021342	0.739883	0.001218	0.726646	0.021342	0.817742	0.142023	0.050208	0.038573	-0.0446075087344672
30deg0-18deg1-4deg2_1	1	1	MCTP2	0.791223	0.002152	1.256178	0.117578	0.791223	0.002152	0.995161	0.019066	0.002464	0.003201	0.0444578460706878
30deg0-18deg1-0deg2_11	100000	10	ITGB4	0.730721	0.045076	0.722659	0.010286	0.730721	0.045076	0.922581	0.111673	0.049087	0.067773	0.044212857959275
30deg0-8deg1-10deg2_10	10000	10	SYNPO	0.407210	0.049372	0.661119	0.013387	0.407210	0.049372	0.419355	0.634630	0.079853	0.080223	0.0441052429320174
30deg0-6deg1-6deg2_1	1	1	ZNF273	0.735110	0.022330	0.726451	0.004139	0.735110	0.022330	0.927419	0.105058	0.025016	0.033673	0.043078894744399
30deg0-16deg1-0deg2_14	10000	100	ATM;PRKCB;GNAI1	0.263323	0.000000	0.568408	0.001546	0.263323	0.000000	0.161290	0.875486	0.000000	0.000000	0.0430389854562437
30deg0-16deg1-8deg2_4	1000	1	GAA	0.793730	0.000418	3.018139	0.245995	0.793730	0.000418	0.996774	0.015564	0.002151	0.000000	0.0428318867719745
30deg0-18deg1-4deg2_15	100000	100	CEACAM1;FMO4	0.500000	0.101881	0.748678	0.041439	0.500000	0.101881	0.570968	0.482879	0.132245	0.158158	0.0426800826316917
30deg0-6deg1-0deg2_15	100000	100	ERCC2;E2F5;BAK1;ATP5B;HNF4A	0.543574	0.053946	0.751156	0.010624	0.543574	0.053946	0.501613	0.445525	0.117186	0.094516	-0.0419999673460272
30deg0-16deg1-4deg2_8	100	10	HR;PDZD3;ADAM28	0.690596	0.032678	13.246202	0.212947	0.690596	0.032678	0.754839	0.201946	0.070173	0.057487	-0.0419586332360009
30deg0-4deg1-4deg2_14	10000	100	ELN;S100P;DLG2;TBXA2R	0.642006	0.083320	0.708092	0.010480	0.642006	0.083320	0.791935	0.253307	0.105941	0.128978	0.0416532135475968
30deg0-14deg1-0deg2_9	1000	10	E2F5	0.696865	0.036769	0.785862	0.015566	0.696865	0.036769	0.872581	0.165759	0.071949	0.061821	0.0415620095432051
30deg0-2deg1-0deg2_9	1000	10	E2F5	0.696865	0.036769	0.785862	0.015566	0.696865	0.036769	0.872581	0.165759	0.071949	0.061821	0.0415620095432051
30deg0-20deg1-2deg2_13	1000	100	GNAI1;PRKCA	0.504702	0.081906	0.721030	0.023017	0.504702	0.081906	0.438710	0.508949	0.152764	0.138518	-0.0414535341866361
30deg0-20deg1-2deg2_18	100000	1000	GNAI1;PRKCA	0.504702	0.081906	0.720998	0.023021	0.504702	0.081906	0.438710	0.508949	0.152764	0.138518	-0.0414535341866361
30deg0-4deg1-4deg2_21	100000	100000	DLG2	0.723511	0.004379	1.684061	0.155413	0.723511	0.004379	0.816129	0.146304	0.009677	0.007589	-0.0412276449833358
30deg0-8deg1-10deg2_9	1000	10	PLXNC1;LAMA5	0.310658	0.047335	0.671554	0.004801	0.310658	0.047335	0.138710	0.822179	0.090323	0.080545	-0.0411798146165769
